# r[L0]  F[rad]  Fp[rad/L0]
7.348539999999977868e-01 1.887199477370286260e+00 -9.916288045553317554e-01
7.398529999999977624e-01 1.882247202220443505e+00 -9.896816953630074298e-01
7.448519999999977381e-01 1.877304598378692457e+00 -9.877594323996300441e-01
7.498509999999977138e-01 1.872371542755898899e+00 -9.858615703973141464e-01
7.548499999999976895e-01 1.867447914463783443e+00 -9.839876740537104594e-01
7.598489999999976652e-01 1.862533594765876543e+00 -9.821373177246917052e-01
7.648479999999976409e-01 1.857628467029982522e+00 -9.803100851280971417e-01
7.698469999999976165e-01 1.852732416682097094e+00 -9.785055690580631849e-01
7.748459999999975922e-01 1.847845331161727556e+00 -9.767233711094925885e-01
7.798449999999975679e-01 1.842967099878566772e+00 -9.749631014122343009e-01
7.848439999999975436e-01 1.838097614170471239e+00 -9.732243783745677668e-01
7.898429999999975193e-01 1.833236767262700573e+00 -9.715068284356042083e-01
7.948419999999974950e-01 1.828384454228371370e+00 -9.698100858262367341e-01
7.998409999999974707e-01 1.823540571950087008e+00 -9.681337923382877797e-01
8.048399999999974463e-01 1.818705019082701213e+00 -9.664775971015185929e-01
8.098389999999974220e-01 1.813877696017177188e+00 -9.648411563681826841e-01
8.148379999999973977e-01 1.809058504845505455e+00 -9.632241333048173759e-01
8.198369999999973734e-01 1.804247349326645544e+00 -9.616261977909843495e-01
8.248359999999973491e-01 1.799444134853456223e+00 -9.600470262246815212e-01
8.298349999999973248e-01 1.794648768420583407e+00 -9.584863013341616833e-01
8.348339999999973005e-01 1.789861158593272217e+00 -9.569437119959055549e-01
8.398329999999972761e-01 1.785081215477074768e+00 -9.554189530585084356e-01
8.448319999999972518e-01 1.780308850688424149e+00 -9.539117251722493140e-01
8.498309999999972275e-01 1.775543977326045741e+00 -9.524217346241230508e-01
8.548299999999972032e-01 1.770786509943181208e+00 -9.509486931781250263e-01
8.598289999999971789e-01 1.766036364520597424e+00 -9.494923179205866370e-01
8.648279999999971546e-01 1.761293458440356563e+00 -9.480523311103701278e-01
8.698269999999971303e-01 1.756557710460323163e+00 -9.466284600337380173e-01
8.748259999999971059e-01 1.751829040689385497e+00 -9.452204368637214804e-01
8.798249999999970816e-01 1.747107370563369511e+00 -9.438279985238190450e-01
8.848239999999970573e-01 1.742392622821622439e+00 -9.424508865558643977e-01
8.898229999999970330e-01 1.737684721484248351e+00 -9.410888469919087562e-01
8.948219999999970087e-01 1.732983591829973191e+00 -9.397416302299701485e-01
8.998209999999969844e-01 1.728289160374622213e+00 -9.384089909135077123e-01
9.048199999999969600e-01 1.723601354850190948e+00 -9.370906878144852348e-01
9.098189999999969357e-01 1.718920104184491926e+00 -9.357864837198939245e-01
9.148179999999969114e-01 1.714245338481359848e+00 -9.344961453216098501e-01
9.198169999999968871e-01 1.709576989001399872e+00 -9.332194431094661402e-01
9.248159999999968628e-01 1.704914988143262367e+00 -9.319561512674257031e-01
9.298149999999968385e-01 1.700259269425429043e+00 -9.307060475727437776e-01
9.348139999999968142e-01 1.695609767468496676e+00 -9.294689132980156199e-01
9.398129999999967898e-01 1.690966417977942449e+00 -9.282445331160075197e-01
9.448119999999967655e-01 1.686329157727358696e+00 -9.270326950071736682e-01
9.498109999999967412e-01 1.681697924542143507e+00 -9.258331901697669508e-01
9.548099999999967169e-01 1.677072657283634971e+00 -9.246458129324516273e-01
9.598089999999966926e-01 1.672453295833674858e+00 -9.234703606693348554e-01
9.648079999999966683e-01 1.667839781079592409e+00 -9.223066337173315699e-01
9.698069999999966440e-01 1.663232054899594914e+00 -9.211544352957851123e-01
9.748059999999966196e-01 1.658630060148555074e+00 -9.200135714282671184e-01
9.798049999999965953e-01 1.654033740644183181e+00 -9.188838508664823879e-01
9.848039999999965710e-01 1.649443041153575651e+00 -9.177650850162089036e-01
9.898029999999965467e-01 1.644857907380128159e+00 -9.166570878652059440e-01
9.948019999999965224e-01 1.640278285950804271e+00 -9.155596759130233409e-01
9.998009999999964981e-01 1.635704124403751125e+00 -9.144726681026511539e-01
1.004799999999996585e+00 1.631135371176251514e+00 -9.133958857539480336e-01
1.009798999999996560e+00 1.626571975593004371e+00 -9.123291524987915402e-01
1.014797999999996536e+00 1.622013887854726111e+00 -9.112722942178932417e-01
1.019796999999996512e+00 1.617461059027063053e+00 -9.102251389792264114e-01
1.024795999999996488e+00 1.612913441029808048e+00 -9.091875169780134769e-01
1.029794999999996463e+00 1.608370986626413091e+00 -9.081592604782244837e-01
1.034793999999996439e+00 1.603833649413791029e+00 -9.071402037555379438e-01
1.039792999999996415e+00 1.599301383812398170e+00 -9.061301830417187730e-01
1.044791999999996390e+00 1.594774145056592429e+00 -9.051290364703682423e-01
1.049790999999996366e+00 1.590251889185258616e+00 -9.041366040240036428e-01
1.054789999999996342e+00 1.585734573032695716e+00 -9.031527274824270313e-01
1.059788999999996317e+00 1.581222154219757758e+00 -9.021772503723424208e-01
1.064787999999996293e+00 1.576714591145245592e+00 -9.012100179181845583e-01
1.069786999999996269e+00 1.572211842977539797e+00 -9.002508769941214295e-01
1.074785999999996244e+00 1.567713869646470970e+00 -8.992996760771959641e-01
1.079784999999996220e+00 1.563220631835422481e+00 -8.983562652015724126e-01
